Antecedent,Consequent,Support,Confidence,Lift
"(np.int64(19), np.int64(104))","(np.int64(3),)",0.01173470238194456,0.47121820615796517,2.2955577622439955
"(np.int64(3), np.int64(83))","(np.int64(4),)",0.010184521527511543,0.5742481203007519,2.183198192725159
"(np.int64(4), np.int64(83))","(np.int64(3),)",0.010184521527511543,0.42578397212543556,2.074223129494215
"(np.int64(104), np.int64(138))","(np.int64(3),)",0.012201423499408264,0.40871021775544386,1.9910476730655577
"(np.int64(4), np.int64(104))","(np.int64(3),)",0.01698531495341123,0.40533015115354015,1.974581547556178
"(np.int64(25), np.int64(104))","(np.int64(4),)",0.011568016268564666,0.519072550486163,1.9734296274598462
"(np.int64(25), np.int64(155))","(np.int64(4),)",0.010517893754271332,0.5180623973727422,1.9695891892004385
"(np.int64(19), np.int64(138))","(np.int64(3),)",0.011284649875818845,0.40273646638905414,1.9619463116588327
"(np.int64(19), np.int64(104))","(np.int64(4),)",0.012701481839547947,0.5100401606425703,1.9390899466051785
"(np.int64(25), np.int64(138))","(np.int64(4),)",0.014768389645458636,0.5057077625570776,1.922618871931987
"(np.int64(3), np.int64(67))","(np.int64(4),)",0.010367876252229426,0.5052802599512591,1.9209935763787
"(np.int64(19), np.int64(25))","(np.int64(4),)",0.013301551847715566,0.5041061276058117,1.9165297156815881
"(np.int64(104), np.int64(151))","(np.int64(4),)",0.012051405997366359,0.5020833333333333,1.9088393800168988
"(np.int64(19), np.int64(155))","(np.int64(4),)",0.01058456819962329,0.5,1.9009188846641316
"(np.int64(104), np.int64(155))","(np.int64(4),)",0.010434550697581384,0.49920255183413076,1.8978871161080484
"(np.int64(138), np.int64(155))","(np.int64(4),)",0.010801260147017152,0.4965517241379311,1.887809099252655
"(np.int64(3), np.int64(25))","(np.int64(4),)",0.01673528578334139,0.49385145105755046,1.8775430990681636
"(np.int64(19), np.int64(138))","(np.int64(4),)",0.013834947410531229,0.49375371802498513,1.8771715339336459
"(np.int64(3), np.int64(40))","(np.int64(4),)",0.011117963762438952,0.49370836417468544,1.8769991059525921
"(np.int64(25), np.int64(151))","(np.int64(4),)",0.012751487673561915,0.4910141206675224,1.8667560292272922
"(np.int64(3), np.int64(172))","(np.int64(4),)",0.011034620705749005,0.4882005899705015,1.8560594419581935
"(np.int64(19), np.int64(151))","(np.int64(4),)",0.011784708215958528,0.48193592365371507,1.8322421969427964
"(np.int64(25), np.int64(43))","(np.int64(4),)",0.010084509859483606,0.4801587301587302,1.8254855955901583
"(np.int64(138), np.int64(151))","(np.int64(4),)",0.013551581017785409,0.47488317757009346,1.8054288005046017
"(np.int64(25), np.int64(121))","(np.int64(4),)",0.015385128264964246,0.4723643807574207,1.795852743648919
"(np.int64(43), np.int64(138))","(np.int64(4),)",0.010317870418215459,0.4717987804878049,1.793702423181551
"(np.int64(40), np.int64(121))","(np.int64(4),)",0.010801260147017152,0.4699057287889775,1.786505347733658
"(np.int64(121), np.int64(155))","(np.int64(4),)",0.011701365159268581,0.4695652173913043,1.7852107786410973
"(np.int64(3), np.int64(155))","(np.int64(4),)",0.01440168019602287,0.4693101575230853,1.7842410824006625
"(np.int64(104), np.int64(138))","(np.int64(4),)",0.013984964912573134,0.4684533780011167,1.7809837456540554
"(np.int64(25), np.int64(67))","(np.int64(4),)",0.0108846032037071,0.46843615494978486,1.780918266406999
"(np.int64(43), np.int64(121))","(np.int64(4),)",0.010834597369693132,0.4666188083273511,1.7740090093778689
"(np.int64(3), np.int64(151))","(np.int64(4),)",0.015218442151584351,0.4662921348314607,1.7727670497429544
"(np.int64(121), np.int64(138))","(np.int64(4),)",0.015201773540246362,0.4662576687116564,1.7726360151469203
"(np.int64(19), np.int64(121))","(np.int64(4),)",0.014818395479472606,0.46495815899581594,1.767695490027629
"(np.int64(3), np.int64(19))","(np.int64(4),)",0.016518593835947528,0.46438612933458295,1.7655207260563772
"(np.int64(3), np.int64(138))","(np.int64(4),)",0.017785408297634725,0.4627059843885516,1.7591330875426092
"(np.int64(104), np.int64(121))","(np.int64(4),)",0.013968296301235144,0.4622173193601765,1.757275262381183
"(np.int64(67), np.int64(121))","(np.int64(4),)",0.010351207640891437,0.4542794440380395,1.7270967481732638
"(np.int64(121), np.int64(151))","(np.int64(4),)",0.013601586851799376,0.4525790349417637,1.7206320686477332
"(np.int64(3), np.int64(121))","(np.int64(4),)",0.019152234427349858,0.45200629425649097,1.7184546014784323
"(np.int64(3), np.int64(43))","(np.int64(4),)",0.011601353491240645,0.451948051948052,1.7182331736704362
"(np.int64(3), np.int64(104))","(np.int64(4),)",0.01698531495341123,0.4504862953138815,1.7126758120890806
