Antecedent,Consequent,Support,Confidence,Lift
"(np.int64(25), np.int64(104), np.int64(121), np.int64(149))","(np.int64(4), np.int64(138), np.int64(170))",0.023923444976076555,1.0,41.8
"(np.int64(4), np.int64(121), np.int64(138), np.int64(170))","(np.int64(25), np.int64(104), np.int64(149))",0.023923444976076555,1.0,41.8
"(np.int64(4), np.int64(138), np.int64(170))","(np.int64(25), np.int64(104), np.int64(121), np.int64(149))",0.023923444976076555,1.0,41.8
"(np.int64(25), np.int64(104), np.int64(149))","(np.int64(4), np.int64(121), np.int64(138), np.int64(170))",0.023923444976076555,1.0,41.8
"(np.int64(25), np.int64(104), np.int64(149))","(np.int64(4), np.int64(138), np.int64(170))",0.023923444976076555,1.0,41.8
"(np.int64(4), np.int64(138), np.int64(170))","(np.int64(25), np.int64(104), np.int64(149))",0.023923444976076555,1.0,41.8
"(np.int64(19), np.int64(97), np.int64(138), np.int64(151))","(np.int64(3), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(3), np.int64(11), np.int64(104))","(np.int64(4), np.int64(97), np.int64(138), np.int64(151))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(13), np.int64(104))","(np.int64(4), np.int64(19), np.int64(121), np.int64(138), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(4), np.int64(13), np.int64(104))","(np.int64(19), np.int64(121), np.int64(138), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(25), np.int64(104), np.int64(149))","(np.int64(4), np.int64(121), np.int64(170))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(3), np.int64(19), np.int64(97), np.int64(138))","(np.int64(4), np.int64(11), np.int64(149), np.int64(151))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(25), np.int64(104), np.int64(138), np.int64(149))","(np.int64(4), np.int64(121), np.int64(170))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(19), np.int64(43), np.int64(97), np.int64(151))","(np.int64(3), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(13), np.int64(104))","(np.int64(19), np.int64(121), np.int64(138), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(4), np.int64(19), np.int64(43), np.int64(97), np.int64(151))","(np.int64(3), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(3), np.int64(19), np.int64(97), np.int64(138))","(np.int64(11), np.int64(149), np.int64(151))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(11), np.int64(104), np.int64(151))","(np.int64(3), np.int64(4), np.int64(97), np.int64(138))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(19), np.int64(97), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(3), np.int64(4), np.int64(19), np.int64(97), np.int64(138))","(np.int64(11), np.int64(149), np.int64(151))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(19), np.int64(43), np.int64(97), np.int64(151))","(np.int64(3), np.int64(4), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(4), np.int64(19), np.int64(97), np.int64(138), np.int64(151))","(np.int64(3), np.int64(11), np.int64(149))",0.023923444976076555,1.0,34.833333333333336
"(np.int64(3), np.int64(11), np.int64(149))","(np.int64(4), np.int64(19), np.int64(43), np.int64(97), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(4), np.int64(97), np.int64(138))","(np.int64(11), np.int64(104), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(19), np.int64(121), np.int64(138), np.int64(149))","(np.int64(4), np.int64(13), np.int64(104))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(11), np.int64(149))","(np.int64(4), np.int64(19), np.int64(97), np.int64(138), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(4), np.int64(11), np.int64(149))","(np.int64(19), np.int64(43), np.int64(97), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(4), np.int64(97), np.int64(138), np.int64(151))","(np.int64(3), np.int64(11), np.int64(104))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(4), np.int64(121), np.int64(170))","(np.int64(25), np.int64(104), np.int64(149))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(4), np.int64(19), np.int64(121), np.int64(138), np.int64(149))","(np.int64(13), np.int64(104))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(4), np.int64(121), np.int64(170))","(np.int64(25), np.int64(104), np.int64(138), np.int64(149))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(4), np.int64(11), np.int64(149))","(np.int64(19), np.int64(97), np.int64(138), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(11), np.int64(149), np.int64(151))","(np.int64(3), np.int64(4), np.int64(19), np.int64(97), np.int64(138))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(11), np.int64(149))","(np.int64(19), np.int64(43), np.int64(97), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(3), np.int64(11), np.int64(149))","(np.int64(19), np.int64(97), np.int64(138), np.int64(151))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(19), np.int64(121), np.int64(138), np.int64(149))","(np.int64(13), np.int64(104))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(4), np.int64(11), np.int64(149), np.int64(151))","(np.int64(3), np.int64(19), np.int64(97), np.int64(138))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(11), np.int64(149), np.int64(151))","(np.int64(3), np.int64(19), np.int64(97), np.int64(138))",0.023923444976076555,0.8333333333333333,34.83333333333333
"(np.int64(11), np.int64(149))","(np.int64(4), np.int64(19), np.int64(97), np.int64(138), np.int64(151))",0.023923444976076555,0.7142857142857143,29.857142857142858
"(np.int64(4), np.int64(11), np.int64(97))","(np.int64(19), np.int64(138), np.int64(149), np.int64(151))",0.023923444976076555,0.7142857142857143,29.857142857142858
"(np.int64(4), np.int64(19), np.int64(121), np.int64(149))","(np.int64(13), np.int64(104), np.int64(138))",0.023923444976076555,0.7142857142857143,29.857142857142858
"(np.int64(11), np.int64(97))","(np.int64(3), np.int64(19), np.int64(138), np.int64(149), np.int64(151))",0.023923444976076555,0.7142857142857143,29.857142857142858
"(np.int64(19), np.int64(138), np.int64(149))","(np.int64(4), np.int64(13), np.int64(104), np.int64(121))",0.023923444976076555,0.7142857142857143,29.857142857142858
