Antecedent_decoded,Consequent_decoded,Support,Confidence,Lift
"('American (New)', 'American (Traditional)', 'Breakfast & Brunch')","('Mexican',)",0.020687117693050636,0.577456350564875,3.13233046360944
"('American (New)', 'American (Traditional)', 'Mexican')","('Breakfast & Brunch',)",0.020687117693050636,0.6161081179800931,3.121892055288083
"('Italian', 'Mexican')","('Pizza',)",0.020184273865918534,0.4822004101963082,2.9737591525664167
"('Mexican', 'Sandwiches')","('Pizza',)",0.021579358874120408,0.4759908021101042,2.935464123176703
"('American (New)', 'Breakfast & Brunch', 'Mexican')","('American (Traditional)',)",0.020687117693050636,0.7047947351927295,2.8893155713442282
"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('American (New)',)",0.020687117693050636,0.7359293193717277,2.8864823622297706
"('Breakfast & Brunch', 'Pizza')","('Sandwiches',)",0.021122506860445506,0.45966504303729894,2.8271376529644687
"('American (Traditional)', 'Burgers')","('Pizza',)",0.020263993009244353,0.4545704656441295,2.803363610050196
"('American (Traditional)', 'Burgers')","('Sandwiches',)",0.020303852580907264,0.4554646124217621,2.8013031986553445
"('American (New)', 'Pizza')","('Italian',)",0.024320470956169803,0.42003812751535696,2.779897221966236
"('American (Traditional)', 'Italian')","('Pizza',)",0.023517147281117295,0.44806636289286134,2.763252414213714
"('Breakfast & Brunch', 'Sandwiches')","('Pizza',)",0.021122506860445506,0.44641005702436487,2.753037875545268
"('Mexican', 'Pizza')","('Italian',)",0.020184273865918534,0.41588224145555625,2.752392728074724
"('American (Traditional)', 'Coffee & Tea')","('Sandwiches',)",0.021438317312851646,0.44728761514841353,2.7510111496299943
"('Pizza', 'Sandwiches')","('Mexican',)",0.021579358874120408,0.5045161290322581,2.7366765276789713
"('Mexican', 'Pizza')","('Sandwiches',)",0.021579358874120408,0.44462695053383033,2.7346469182668796
"('Breakfast & Brunch', 'Pizza')","('Mexican',)",0.023008171212190898,0.5007006071929005,2.715979768035934
"('American (Traditional)', 'Mexican')","('Pizza',)",0.026978797773996227,0.4397740903638544,2.712113466989114
"('American (Traditional)', 'Pizza')","('Italian',)",0.023517147281117295,0.40713413663145603,2.6944960022659545
"('American (New)', 'Sandwiches')","('Italian',)",0.02325959312575695,0.40712714002039396,2.694449697279858
"('Breakfast & Brunch', 'Mexican')","('Pizza',)",0.023008171212190898,0.43683781581092096,2.6940052838735524
"('American (Traditional)', 'Sandwiches')","('Pizza',)",0.02500114979533643,0.43646290547050637,2.691693189083451
"('American (Traditional)', 'Pizza')","('Sandwiches',)",0.02500114979533643,0.43282552152449705,2.6620630556990097
"('American (Traditional)', 'Coffee & Tea')","('Pizza',)",0.020687117693050636,0.431614636642784,2.661793621402303
"('Coffee & Tea', 'Mexican')","('Breakfast & Brunch',)",0.020751506231890725,0.5242041669893889,2.6562039624447173
"('American (New)', 'Sandwiches')","('Pizza',)",0.02459642183691303,0.4305264852680728,2.6550829259290083
"('American (New)', 'Burgers')","('Mexican',)",0.02128194514709715,0.48739554806544483,2.643808352855745
"('American (Traditional)', 'Italian')","('Sandwiches',)",0.02250839350595594,0.42884682790045564,2.637592379225958
"('American (New)', 'Italian')","('Pizza',)",0.024320470956169803,0.4270255720053836,2.6334925816714727
"('American (New)', 'Coffee & Tea')","('Sandwiches',)",0.021947293381778043,0.4265792610250298,2.6236458679755663
"('Breakfast & Brunch', 'Mexican')","('Sandwiches',)",0.022462401692498735,0.42647572476423334,2.6230090754550592
"('American (New)', 'Mexican')","('Pizza',)",0.026708979135047294,0.4243265624238881,2.6168476260137847
"('American (New)', 'Pizza')","('Sandwiches',)",0.02459642183691303,0.4248040669349714,2.6127276610565406
"('American (Traditional)', 'Burgers')","('Mexican',)",0.02142605282926306,0.4806382832381869,2.6071545236123885
"('Breakfast & Brunch', 'Italian')","('Mexican',)",0.020475555351147496,0.4793969849246231,2.6004212761241594
"('Italian', 'Pizza')","('Mexican',)",0.020184273865918534,0.4786592016287356,2.5964192747763692
"('American (Traditional)', 'Mexican')","('Sandwiches',)",0.025847399162948995,0.42133146741303473,2.5913696809124276
"('Breakfast & Brunch', 'Sandwiches')","('Mexican',)",0.022462401692498735,0.47472783825816484,2.5750941490987125
"('Burgers', 'Pizza')","('American (Traditional)',)",0.020263993009244353,0.6235493914520237,2.55624918329148
"('Burgers', 'Sandwiches')","('American (Traditional)',)",0.020303852580907264,0.6235404896421844,2.5562126902013684
"('American (Traditional)', 'Coffee & Tea')","('Breakfast & Brunch',)",0.023973999294792193,0.500191914022518,2.534531061895038
"('American (Traditional)', 'Pizza')","('Mexican',)",0.026978797773996227,0.4670630075906364,2.533517357060974
"('American (New)', 'Mexican')","('Sandwiches',)",0.02592098606448052,0.4118076866871255,2.532794334588756
"('American (New)', 'Coffee & Tea')","('Pizza',)",0.02109184565147404,0.40995232419547084,2.528200827734364
"('Coffee & Tea', 'Italian')","('American (New)',)",0.02021800119578715,0.6437567119008103,2.524960407957497
"('Breakfast & Brunch', 'Coffee & Tea')","('Mexican',)",0.020751506231890725,0.4650267967569054,2.522472218811844
"('American (New)', 'Burgers')","('Breakfast & Brunch',)",0.021705069830903433,0.49708587880064603,2.518792417329864
"('American (Traditional)', 'Coffee & Tea')","('Mexican',)",0.022226310383418418,0.46372824974411464,2.515428433835517
"('American (New)', 'Italian')","('Sandwiches',)",0.02325959312575695,0.40839838492597574,2.511825662889084
"('Mexican', 'Sandwiches')","('Breakfast & Brunch',)",0.022462401692498735,0.4954686865954281,2.51059791485537
"('American (New)', 'Coffee & Tea')","('Breakfast & Brunch',)",0.02543960508362845,0.49445768772348037,2.5054750650598074
"('Pizza', 'Sandwiches')","('Breakfast & Brunch',)",0.021122506860445506,0.49383512544802866,2.502320469032041
"('American (New)', 'Pizza')","('Mexican',)",0.026708979135047294,0.4612899809362423,2.502202388857578
"('American (Traditional)', 'Breakfast & Brunch')","('Sandwiches',)",0.02652194576032133,0.4057794248721677,2.4957179325060936
"('Italian', 'Mexican')","('Breakfast & Brunch',)",0.020475555351147496,0.48915909756812187,2.478626487630779
