Antecedent,Consequent,Support,Confidence,Lift,Antecedent_str,Consequent_str
"(np.int64(104), np.int64(152))","(np.int64(3), np.int64(4))",0.0131189727671879,0.4162457912457912,4.871840003826496,"('Ethiopian', 'Italian', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)')"
"(np.int64(43), np.int64(152))","(np.int64(3), np.int64(4))",0.0102670221656253,0.4095238095238095,4.793164326746069,"('Ethiopian', 'Coffee & Tea', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)')"
"(np.int64(24), np.int64(152))","(np.int64(3), np.int64(4))",0.0129332643559234,0.4050685500623182,4.741018907552861,"('Ethiopian', 'Burgers', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)')"
"(np.int64(24), np.int64(155))","(np.int64(3), np.int64(4))",0.0117792192287794,0.4045558086560364,4.735017659859124,"('Ethiopian', 'Burgers', 'Ethiopian', 'Seafood')","('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)')"
"(np.int64(24), np.int64(104))","(np.int64(3), np.int64(4))",0.0117792192287794,0.4036363636363636,4.724256256086717,"('Ethiopian', 'Burgers', 'Ethiopian', 'Italian')","('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)')"
"(np.int64(3), np.int64(104), np.int64(139))","(np.int64(152),)",0.010054783981323,0.5387348969438521,3.7594749306587225,"('Ethiopian', 'American (New)', 'Ethiopian', 'Italian', 'Ethiopian', 'Pizza')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(139), np.int64(152))","(np.int64(24),)",0.0111027100163158,0.5280757097791798,3.751771136850724,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Pizza', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Burgers')"
"(np.int64(3), np.int64(139), np.int64(152))","(np.int64(104),)",0.010054783981323,0.5375886524822695,3.736947509882974,"('Ethiopian', 'American (New)', 'Ethiopian', 'Pizza', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Italian')"
"(np.int64(3), np.int64(122), np.int64(139))","(np.int64(152),)",0.0109700611511268,0.533204384268214,3.720881136427645,"('Ethiopian', 'American (New)', 'Ethiopian', 'Mexican', 'Ethiopian', 'Pizza')","('Ethiopian', 'Sandwiches')"
"(np.int64(3), np.int64(18), np.int64(139))","(np.int64(104),)",0.0103200817117009,0.5325119780971937,3.701657952311032,"('Ethiopian', 'American (New)', 'Ethiopian', 'Breakfast & Brunch', 'Ethiopian', 'Pizza')","('Ethiopian', 'Italian')"
"(np.int64(4), np.int64(18), np.int64(152))","(np.int64(24),)",0.0108241473994189,0.5194143857415658,3.6902358211195385,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Breakfast & Brunch', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Burgers')"
"(np.int64(3), np.int64(18), np.int64(139))","(np.int64(152),)",0.0101343733004364,0.5229295003422313,3.6491795096084223,"('Ethiopian', 'American (New)', 'Ethiopian', 'Breakfast & Brunch', 'Ethiopian', 'Pizza')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(104), np.int64(139))","(np.int64(152),)",0.0109700611511268,0.52275600505689,3.6479688006316544,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Italian', 'Ethiopian', 'Pizza')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(18), np.int64(139))","(np.int64(24),)",0.0112486237680236,0.5120772946859904,3.638108662189498,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Breakfast & Brunch', 'Ethiopian', 'Pizza')","('Ethiopian', 'Burgers')"
"(np.int64(3), np.int64(104), np.int64(152))","(np.int64(139),)",0.010054783981323,0.5835257890685143,3.637061484953128,"('Ethiopian', 'American (New)', 'Ethiopian', 'Italian', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Pizza')"
"(np.int64(4), np.int64(24), np.int64(139))","(np.int64(152),)",0.0111027100163158,0.5208462974486621,3.6346422128818174,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Burgers', 'Ethiopian', 'Pizza')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(139), np.int64(152))","(np.int64(104),)",0.0109700611511268,0.5217665615141955,3.6269631879087743,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Pizza', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Italian')"
"(np.int64(4), np.int64(18), np.int64(104))","(np.int64(152),)",0.010558849669041,0.5195822454308094,3.6258212289449614,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Breakfast & Brunch', 'Ethiopian', 'Italian')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(122), np.int64(152))","(np.int64(24),)",0.0111292397893536,0.5103406326034063,3.625770358125812,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Mexican', 'Ethiopian', 'Sandwiches')","('Ethiopian', 'Burgers')"
"(np.int64(3), np.int64(4), np.int64(43))","(np.int64(152),)",0.0102670221656253,0.5170340681362725,3.608039183059258,"('Ethiopian', 'American (New)', 'Ethiopian', 'American (Traditional)', 'Ethiopian', 'Coffee & Tea')","('Ethiopian', 'Sandwiches')"
"(np.int64(4), np.int64(122), np.int64(139))","(np.int64(24),)",0.0122434902569408,0.5077007700770076,3.60701516857934,"('Ethiopian', 'American (Traditional)', 'Ethiopian', 'Mexican', 'Ethiopian', 'Pizza')","('Ethiopian', 'Burgers')"
"(np.int64(3), np.int64(122), np.int64(139))","(np.int64(24),)",0.0103996710308143,0.5054803352675693,3.5912398487245545,"('Ethiopian', 'American (New)', 'Ethiopian', 'Mexican', 'Ethiopian', 'Pizza')","('Ethiopian', 'Burgers')"
