user_id,community
TetCT0hsAP_Bp8mjIE9OAw,0
VNRW7STLvplnmo1Akpy2xA,0
VlVuaR6OBv-egNB7ns6Arw,1
KUJycPr6yJlxF2FP9jtkag,2
OXxZZ_J9MzD3stU-72We1g,3
v8X4Ggib-vkK0K5T1sixGg,4
-bR5k5ThfwOVrSX2oKtV3g,5
jPBKGmxgfG5iRipd3v7BAw,6
P8myuTM3s1DavdN7hI9LFQ,7
UnjBKQV-sckaFh5PtdkrrQ,8
hG5259C5mhn_-6O9tjYjdA,5
uq6HMT9iwnGnhTi7ikCFRw,9
L0cAQ4ihEXvpmzT2ibE6sQ,10
6SZjMeJBLkuItNAMJ25sqg,11
lgNM7aQ2LMGlCZVxSTLYHg,10
4YUabV9xHtvtxw2BLfl1AQ,4
lTUlx2PK2vGccj3WMpTC8A,40
5UFCvsTSJMfPqQFQLckIQw,13
Lqzo97GI-0_2xkgUV4nPvA,10
uQWLmSiN2P6d1YlNK6sPXw,7
UbaSXP87o8p6Wc-6JJhJYQ,14
ZRuDirE3HXPFTGjgmA73HA,3
J7U2JFwC1OXWm6GxIRLa3g,10
Px_YQeK-VtGe8lTH6027NA,15
qeSFQq0O7TjGIZDYJAQ6tQ,15
UiXAS1Ktka-Z9D2qx-T1zg,40
mNVDEJzCbjA2y6InxrzuDQ,16
wRFprYb9-3rLqX2vVGOKEA,17
3x1sSKVaNr6wQdvCjiee0w,11
QhgsnWKfRYg8iAB-d2qKTQ,18
9WSd3Gkc-IfZK4bO3noAWg,11
pUNvLJwdJIOemOgU98mp1w,19
xoNpQ_DnzNuTbkFPPO0Lgw,10
gf4eurzrfkyh08WU2DbXmA,20
e0vIDSX8hFumXdPQDmHAqA,8
y2Vbbr6asq78BGgylrGL2Q,21
kPrZIkIJFTw4G7W2Ca13Gg,22
_5Kh0D51CIfrl8ogTwPDcg,5
3HZwoFFf6trG_0xif-ZmFA,23
CGyH2xvqpfeyg9svXOoV4Q,37
uFaxOiv37D89I1Tg6o1zfg,2
Wt_nX0wMk2u6P1_UCzJB-g,1
_SAm8VDeyk2DQifVDnpEXg,25
VbB1mMPD1IjhyCqSN9-c9w,26
70y7ExiEHrawld5lruwUVw,16
c9LssAbQdnf-fHacQSM4rA,27
H_lCRemeqAhA8Ix8qZ2FoQ,39
r4tiS6cS_RyOxxydl4EK2g,5
aguFStodXGQR1UqU_NKs-g,2
ed0aLo7TWggG4i4g5s0jEQ,29
e-sXJf7EJSlNldUXX7gKDQ,30
gTE7kWbIVg_RyqgkDr-csQ,36
S3S4Xntac7JXM5Hw39Fx0A,15
pVvFv5asE2vz7QtFFA7NDQ,32
TIw4XUreppvE8VsiIRQJwA,4
Dr6ORtIkQu2ugMvjxsbWZw,0
bRYbDgY_Fo3a1XthliDXfQ,10
td7JrqJMybMZKKoa1h9Qsg,3
79HDPNy40bJbPg9JjnQhBg,2
QAr-XOgz5S7CGATJMnQz9w,51
mQWmHoC-QVnzvThpyFw2cQ,0
vU2f8XktlbnwS5f2K4H7fQ,21
ogijllMeaVWyuZCpxEZghg,2
8vL0vN5kJsmXlwoCvnhmTw,0
xb6Doc9m2x2_0TqCX-X_aw,10
WeLD32z7YiBCEJnuRNnWLw,36
qaLrs6ZABIW5IQj0aD5Yig,34
Qvu5v8X6HdHZyFPDmRc9ew,53
