Antecedent,Consequent,Support,Confidence,Lift
"(np.int64(3), np.int64(24), np.int64(138))","(np.int64(4), np.int64(122), np.int64(151))",0.010039772727272727,0.4453125,14.21897677793904
"(np.int64(3), np.int64(24), np.int64(151))","(np.int64(4), np.int64(18), np.int64(138))",0.010414772727272727,0.4437182280319535,13.710394686380585
"(np.int64(4), np.int64(43), np.int64(138))","(np.int64(3), np.int64(122), np.int64(151))",0.010244318181818183,0.41939986043265876,13.684533822051899
"(np.int64(3), np.int64(24), np.int64(151))","(np.int64(4), np.int64(122), np.int64(138))",0.010039772727272727,0.4277414669571532,13.635663500173695
"(np.int64(4), np.int64(24), np.int64(138))","(np.int64(3), np.int64(122), np.int64(151))",0.010039772727272727,0.4169419537517697,13.604335161348065
"(np.int64(3), np.int64(24), np.int64(138))","(np.int64(4), np.int64(18), np.int64(151))",0.010414772727272727,0.46194556451612906,13.52335651278089
"(np.int64(3), np.int64(24), np.int64(151))","(np.int64(4), np.int64(18), np.int64(104))",0.010204545454545454,0.4347615589445654,13.471484925042873
"(np.int64(4), np.int64(43), np.int64(104))","(np.int64(3), np.int64(122), np.int64(151))",0.010005681818181818,0.4124121779859485,13.456533801543738
"(np.int64(3), np.int64(24), np.int64(104))","(np.int64(4), np.int64(18), np.int64(151))",0.010204545454545454,0.4595701125895598,13.453815671284518
"(np.int64(3), np.int64(43), np.int64(138))","(np.int64(4), np.int64(122), np.int64(151))",0.010244318181818183,0.4209666121877189,13.4416044530186
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(4), np.int64(138), np.int64(151))",0.010039772727272727,0.40639374425023,13.431981030617932
"(np.int64(18), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(24))",0.010414772727272727,0.40553097345132744,13.283724423494068
"(np.int64(122), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(24))",0.010039772727272727,0.40527522935779814,13.275347174199231
"(np.int64(4), np.int64(43), np.int64(138))","(np.int64(3), np.int64(18), np.int64(151))",0.011034090909090908,0.4517329611537566,13.275171341302583
"(np.int64(3), np.int64(43), np.int64(138))","(np.int64(4), np.int64(18), np.int64(151))",0.011034090909090908,0.45342049964977815,13.273787082229035
"(np.int64(4), np.int64(24), np.int64(104))","(np.int64(3), np.int64(18), np.int64(151))",0.010204545454545454,0.45136969087710477,13.26449584143771
"(np.int64(104), np.int64(122), np.int64(151))","(np.int64(4), np.int64(18), np.int64(138))",0.010204545454545454,0.4292543021032505,13.26347562678583
"(np.int64(18), np.int64(104), np.int64(138))","(np.int64(3), np.int64(122), np.int64(151))",0.010119318181818182,0.4059721905630272,13.246404438096548
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(4), np.int64(18), np.int64(138))",0.010579545454545454,0.4282428702851886,13.232223520047961
"(np.int64(4), np.int64(43), np.int64(104))","(np.int64(3), np.int64(18), np.int64(151))",0.010920454545454546,0.4501170960187354,13.227685573434202
"(np.int64(104), np.int64(122), np.int64(151))","(np.int64(3), np.int64(18), np.int64(138))",0.010119318181818182,0.4256692160611855,13.220007416052347
"(np.int64(4), np.int64(43), np.int64(104))","(np.int64(3), np.int64(18), np.int64(138))",0.010278409090909092,0.42365339578454336,13.1574020924792
"(np.int64(18), np.int64(104), np.int64(151))","(np.int64(3), np.int64(4), np.int64(24))",0.010204545454545454,0.4006245817532902,13.1230088197616
"(np.int64(3), np.int64(24), np.int64(138))","(np.int64(4), np.int64(18), np.int64(122))",0.010579545454545454,0.4692540322580645,13.10931899641577
"(np.int64(3), np.int64(43), np.int64(138))","(np.int64(4), np.int64(18), np.int64(104))",0.010278409090909092,0.42236749941629703,13.08744364388526
"(np.int64(18), np.int64(104), np.int64(138))","(np.int64(4), np.int64(122), np.int64(151))",0.010204545454545454,0.4093913836334625,13.07200354127166
"(np.int64(3), np.int64(24), np.int64(151))","(np.int64(4), np.int64(18), np.int64(122))",0.0109375,0.46598886468167505,13.018101616503937
"(np.int64(4), np.int64(24), np.int64(151))","(np.int64(3), np.int64(122), np.int64(138))",0.010039772727272727,0.4014084507042253,13.003476407867414
"(np.int64(3), np.int64(43), np.int64(151))","(np.int64(4), np.int64(18), np.int64(138))",0.011034090909090908,0.42080173347778976,13.00230075352721
"(np.int64(18), np.int64(24), np.int64(104))","(np.int64(3), np.int64(4), np.int64(151))",0.010204545454545454,0.514171199541941,12.974068977689122
"(np.int64(24), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(122))",0.010039772727272727,0.5235555555555556,12.969145359293144
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(4), np.int64(18), np.int64(151))",0.0109375,0.4427322907083716,12.96089207662565
"(np.int64(4), np.int64(43), np.int64(151))","(np.int64(3), np.int64(18), np.int64(138))",0.011034090909090908,0.41709621993127144,12.953755903988666
"(np.int64(4), np.int64(24), np.int64(151))","(np.int64(3), np.int64(18), np.int64(138))",0.010414772727272727,0.4164016356201726,12.932184201367633
"(np.int64(3), np.int64(18), np.int64(24))","(np.int64(4), np.int64(122), np.int64(151))",0.0109375,0.4046668068110153,12.921146226186263
"(np.int64(3), np.int64(43), np.int64(151))","(np.int64(4), np.int64(18), np.int64(104))",0.010920454545454546,0.41646803900325025,12.904643462072542
"(np.int64(3), np.int64(24), np.int64(104))","(np.int64(4), np.int64(18), np.int64(122))",0.010244318181818183,0.46136131013306036,12.88882390212994
"(np.int64(3), np.int64(43), np.int64(104))","(np.int64(4), np.int64(18), np.int64(151))",0.010920454545454546,0.44011907487978014,12.884390748310263
"(np.int64(3), np.int64(43), np.int64(104))","(np.int64(4), np.int64(122), np.int64(151))",0.010005681818181818,0.4032516601786123,12.875960121813455
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(3), np.int64(18), np.int64(138))",0.010579545454545454,0.4144224348987314,12.870716171197586
"(np.int64(24), np.int64(122), np.int64(151))","(np.int64(3), np.int64(4), np.int64(138))",0.010039772727272727,0.4917895908711383,12.86871364753499
"(np.int64(18), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(43))",0.011034090909090908,0.42964601769911503,12.866717562539433
"(np.int64(3), np.int64(138), np.int64(154))","(np.int64(4), np.int64(18), np.int64(104))",0.010431818181818181,0.4147278066410662,12.850720769159798
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(4), np.int64(18), np.int64(104))",0.010244318181818183,0.4146734130634775,12.849035334361275
"(np.int64(18), np.int64(104), np.int64(151))","(np.int64(3), np.int64(4), np.int64(43))",0.010920454545454546,0.4287307606513496,12.839308129085849
"(np.int64(4), np.int64(43), np.int64(122))","(np.int64(3), np.int64(18), np.int64(138))",0.011,0.41332194705380015,12.836538323887211
"(np.int64(3), np.int64(43), np.int64(104))","(np.int64(4), np.int64(18), np.int64(138))",0.010278409090909092,0.41424318754293565,12.799649053292955
"(np.int64(18), np.int64(24), np.int64(104))","(np.int64(3), np.int64(4), np.int64(122))",0.010244318181818183,0.5161752075579732,12.786324634792862
"(np.int64(18), np.int64(104), np.int64(151))","(np.int64(4), np.int64(122), np.int64(138))",0.010204545454545454,0.4006245817532902,12.771223761742272
"(np.int64(122), np.int64(138), np.int64(151))","(np.int64(4), np.int64(18), np.int64(104))",0.010204545454545454,0.41192660550458715,12.763922987466081
"(np.int64(4), np.int64(24), np.int64(138))","(np.int64(3), np.int64(18), np.int64(151))",0.010414772727272727,0.4325153374233129,12.710418999249136
"(np.int64(4), np.int64(43), np.int64(122))","(np.int64(3), np.int64(18), np.int64(151))",0.011443181818181818,0.4299743808710504,12.635747375739669
"(np.int64(3), np.int64(43), np.int64(138))","(np.int64(4), np.int64(18), np.int64(122))",0.011,0.4520196124212001,12.627849489862097
"(np.int64(104), np.int64(122), np.int64(151))","(np.int64(3), np.int64(4), np.int64(43))",0.010005681818181818,0.42088910133843216,12.6044719815491
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(3), np.int64(18), np.int64(151))",0.0109375,0.42844424660583125,12.590780998935767
"(np.int64(3), np.int64(43), np.int64(122))","(np.int64(4), np.int64(18), np.int64(138))",0.011,0.4071503680336488,12.580488899916114
"(np.int64(3), np.int64(138), np.int64(151))","(np.int64(4), np.int64(18), np.int64(104))",0.011721590909090909,0.4056232795910342,12.56860866338416
"(np.int64(18), np.int64(24), np.int64(138))","(np.int64(3), np.int64(4), np.int64(151))",0.010414772727272727,0.49755700325732893,12.55484337968314
"(np.int64(4), np.int64(24), np.int64(104))","(np.int64(3), np.int64(18), np.int64(122))",0.010244318181818183,0.4531289268660468,12.525630772486922
"(np.int64(18), np.int64(24), np.int64(138))","(np.int64(3), np.int64(4), np.int64(122))",0.010579545454545454,0.50542888165038,12.520124302669513
"(np.int64(4), np.int64(43), np.int64(138))","(np.int64(3), np.int64(18), np.int64(104))",0.010278409090909092,0.4207955338450802,12.518596003504753
"(np.int64(3), np.int64(138), np.int64(154))","(np.int64(4), np.int64(18), np.int64(151))",0.010744318181818181,0.4271515699119042,12.504769844393737
"(np.int64(18), np.int64(24), np.int64(151))","(np.int64(3), np.int64(4), np.int64(138))",0.010414772727272727,0.47709526288391463,12.484205511086675
"(np.int64(43), np.int64(104), np.int64(122))","(np.int64(3), np.int64(4), np.int64(151))",0.010005681818181818,0.4935538116591928,12.45383094652587
"(np.int64(4), np.int64(43), np.int64(138))","(np.int64(3), np.int64(18), np.int64(122))",0.011,0.45033728774133513,12.448462799195067
"(np.int64(3), np.int64(151), np.int64(154))","(np.int64(4), np.int64(18), np.int64(104))",0.01084090909090909,0.4015996632287939,12.4439332268077
"(np.int64(43), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(122))",0.010244318181818183,0.5011117287381879,12.413182865295013
"(np.int64(18), np.int64(24), np.int64(151))","(np.int64(3), np.int64(4), np.int64(122))",0.0109375,0.5010411244143674,12.411433905267934
"(np.int64(3), np.int64(43), np.int64(122))","(np.int64(4), np.int64(18), np.int64(151))",0.011443181818181818,0.4235541535226078,12.399456257481532
"(np.int64(122), np.int64(138), np.int64(151))","(np.int64(3), np.int64(4), np.int64(43))",0.010244318181818183,0.4135321100917432,12.384150310727719
